Merchant_ID,Merchant_Name,Merchant_Category,City,State,Merchant_Risk_Score,Merchant_Type,Partner_Offer_Eligible
MERCH_0001,PVR Cinemas Outlet 789,Entertainment,Coimbatore,Tamil Nadu,25,Online,True
MERCH_0002,ICICI Lombard Outlet 745,Insurance,Ahmedabad,Gujarat,26,Hybrid,False
MERCH_0003,Microsoft 365 Digital,Subscription,Jaipur,Rajasthan,33,Online,False
MERCH_0004,NoBroker Rent Outlet 616,Rent,Lucknow,Uttar Pradesh,28,Retail,False
MERCH_0005,Reliance Petroleum Outlet 362,Fuel,Nagpur,Maharashtra,23,Retail,False
MERCH_0006,Netflix Outlet 376,Entertainment,Bangalore,Karnataka,20,Online,False
MERCH_0007,Barbeque Nation Outlet 909,Dining_Out,Chennai,Tamil Nadu,38,Hybrid,False
MERCH_0008,Hindustan Petroleum Outlet 932,Fuel,Pune,Maharashtra,17,Retail,False
MERCH_0009,Westside Outlet 611,Shopping,Surat,Gujarat,18,Online,False
MERCH_0010,Simplilearn Outlet 596,Education,Kanpur,Uttar Pradesh,10,Hybrid,False
MERCH_0011,MakeMyTrip Flights Outlet 29,Travel,Kolkata,West Bengal,39,Retail,False
MERCH_0012,Reliance Petroleum Outlet 211,Fuel,Mysore,Karnataka,24,Retail,False
MERCH_0013,Air India Outlet 737,Travel,Bangalore,Karnataka,8,Retail,False
MERCH_0014,HDFC Ergo Outlet 924,Insurance,Ludhiana,Punjab,23,Retail,False
MERCH_0015,Disney VIP Digital,Subscription,Mysore,Karnataka,40,Online,False
MERCH_0016,Uber Outlet 122,Travel,Mumbai,Maharashtra,32,Hybrid,False
MERCH_0017,Simplilearn Outlet 127,Education,Jaipur,Rajasthan,10,Hybrid,True
MERCH_0018,H&M Outlet 146,Shopping,Kanpur,Uttar Pradesh,14,Retail,True
MERCH_0019,Housing Rent Transfer Outlet 871,Rent,Jaipur,Rajasthan,23,Retail,False
MERCH_0020,BESCOM Outlet 590,Utility,Bangalore,Karnataka,25,Online,False
MERCH_0021,IRCTC Outlet 611,Travel,Delhi,Delhi,43,Retail,False
MERCH_0022,Apollo Pharmacy Outlet 621,Healthcare,Mysore,Karnataka,35,Online,False
MERCH_0023,ICICI Lombard Outlet 627,Insurance,Hyderabad,Telangana,32,Retail,True
MERCH_0024,Westside Outlet 738,Shopping,Jaipur,Rajasthan,13,Online,False
MERCH_0025,Society Maintenance Outlet 859,Rent,Ahmedabad,Gujarat,8,Retail,False
MERCH_0026,Disney+ Hotstar Outlet 648,Entertainment,Lucknow,Uttar Pradesh,93,Hybrid,False
MERCH_0027,Salon & Spa Outlet 435,Other,Surat,Gujarat,18,Online,False
MERCH_0028,Bharat Petroleum Outlet 590,Fuel,Nagpur,Maharashtra,41,Retail,False
MERCH_0029,DPS School Outlet 393,Education,Surat,Gujarat,37,Retail,False
MERCH_0030,Dry Cleaners Outlet 336,Other,Mumbai,Maharashtra,38,Retail,False
MERCH_0031,Disney+ Hotstar Outlet 186,Entertainment,Noida,Uttar Pradesh,10,Retail,False
MERCH_0032,Reliance Petroleum Outlet 523,Fuel,Kanpur,Uttar Pradesh,14,Retail,False
MERCH_0033,Mainland China Outlet 688,Dining_Out,Surat,Gujarat,44,Retail,False
MERCH_0034,BESCOM Outlet 713,Utility,Ludhiana,Punjab,36,Online,False
MERCH_0035,Municipal Water Outlet 77,Utility,Udaipur,Rajasthan,19,Online,False
MERCH_0036,Zoomcar Outlet 689,Travel,Noida,Uttar Pradesh,29,Retail,False
MERCH_0037,Netflix Premium Digital,Subscription,Kolkata,West Bengal,10,Online,False
MERCH_0038,BYJU'S Outlet 187,Education,Ahmedabad,Gujarat,15,Retail,True
MERCH_0039,iCloud Storage Digital,Subscription,Coimbatore,Tamil Nadu,25,Online,False
MERCH_0040,Gift Gallery Outlet 113,Other,Chandigarh,Punjab,24,Retail,False
MERCH_0041,Smaaash Outlet 396,Entertainment,Jaipur,Rajasthan,44,Retail,True
MERCH_0042,Burger King Outlet 529,Food,Bangalore,Karnataka,41,Retail,False
MERCH_0043,Myntra Outlet 553,Shopping,Coimbatore,Tamil Nadu,20,Online,False
MERCH_0044,Amazon Prime Outlet 542,Entertainment,Jaipur,Rajasthan,32,Retail,False
MERCH_0045,Cred RentPay Outlet 649,Rent,Bangalore,Karnataka,37,Retail,False
MERCH_0046,Indraprastha Gas Outlet 654,Utility,Nagpur,Maharashtra,33,Online,False
MERCH_0047,More Retail Outlet 220,Grocery,Surat,Gujarat,6,Hybrid,False
MERCH_0048,DPS School Outlet 737,Education,Pune,Maharashtra,16,Retail,True
MERCH_0049,Shell Petrol Outlet 769,Fuel,Mumbai,Maharashtra,38,Retail,False
MERCH_0050,Local Kirana Outlet 288,Grocery,Kanpur,Uttar Pradesh,21,Online,False
MERCH_0051,SBI General Insurance Outlet 940,Insurance,Mumbai,Maharashtra,20,Retail,False
MERCH_0052,Max Healthcare Outlet 56,Healthcare,Hyderabad,Telangana,24,Online,False
MERCH_0053,Smaaash Outlet 200,Entertainment,Nagpur,Maharashtra,29,Hybrid,False
MERCH_0054,Salon & Spa Outlet 236,Other,Trivandrum,Kerala,18,Online,False
MERCH_0055,Punjab Grill Outlet 854,Dining_Out,Lucknow,Uttar Pradesh,37,Retail,False
MERCH_0056,BookMyShow Outlet 612,Entertainment,Pune,Maharashtra,42,Retail,False
MERCH_0057,Practo Outlet 556,Healthcare,Ludhiana,Punjab,18,Hybrid,False
MERCH_0058,DAV College Outlet 163,Education,Mysore,Karnataka,23,Retail,False
MERCH_0059,BESCOM Outlet 722,Utility,Kochi,Kerala,18,Online,False
MERCH_0060,Netflix Premium Digital,Subscription,Ludhiana,Punjab,18,Online,True
MERCH_0061,Ola Outlet 474,Travel,Coimbatore,Tamil Nadu,93,Online,False
MERCH_0062,Hindustan Petroleum Outlet 964,Fuel,Udaipur,Rajasthan,8,Retail,False
MERCH_0063,MedPlus Outlet 882,Healthcare,Udaipur,Rajasthan,20,Online,False
MERCH_0064,ICICI Lombard Outlet 44,Insurance,Ahmedabad,Gujarat,25,Hybrid,False
