Product_ID,Product_Name,Product_Type,Eligibility_Min_CIBIL,Eligibility_Min_Income,Reward_Rate,Annual_Fee,Interest_Rate
PROD_001,Titanium Fixed Deposit,Fixed Deposit,300,0,0.0,0,7.32
PROD_002,Infinite Home Loan,Home Loan,720,150000,0.0,0,9.1
PROD_003,Elite Recurring Deposit,Recurring Deposit,300,0,0.0,0,6.1
PROD_004,Signature Recurring Deposit,Recurring Deposit,300,0,0.0,0,7.11
PROD_005,Signature Investment,Investment,700,75000,0.0,0,0.0
PROD_006,Direct Mutual Fund Savings Account,Savings Account,300,0,0.91,0,3.62
PROD_007,Titanium Fixed Deposit,Fixed Deposit,300,0,0.0,0,7.55
PROD_008,Elite Fixed Deposit,Fixed Deposit,300,0,0.0,0,6.02
PROD_009,Gold Insurance,Insurance,680,35000,0.0,0,0.0
PROD_010,Elite Investment,Investment,720,150000,0.0,0,0.0
PROD_011,Super Saver Fixed Deposit,Fixed Deposit,300,0,0.0,0,7.64
PROD_012,Gold Personal Loan,Personal Loan,680,50000,0.0,0,10.37
PROD_013,Signature Auto Loan,Auto Loan,720,100000,0.0,0,8.69
PROD_014,Direct Mutual Fund Current Account,Current Account,300,0,0.0,0,0.0
PROD_015,Super Saver Personal Loan,Personal Loan,550,10000,0.0,0,11.63
PROD_016,Elite Recurring Deposit,Recurring Deposit,300,0,0.0,0,6.97
PROD_017,Direct Mutual Fund Recurring Deposit,Recurring Deposit,300,0,0.0,0,7.09
PROD_018,Classic Insurance,Insurance,300,10000,0.0,0,0.0
PROD_019,Super Saver Insurance,Insurance,300,20000,0.0,0,0.0
PROD_020,Super Saver Recurring Deposit,Recurring Deposit,300,0,0.0,0,6.36
PROD_021,Platinum Recurring Deposit,Recurring Deposit,300,0,0.0,0,7.09
PROD_022,Infinite Investment,Investment,720,75000,0.0,0,0.0
PROD_023,NPS Fixed Deposit,Fixed Deposit,300,0,0.0,0,6.11
