Customer_ID,Fraud_Flag,Fraud_Risk_Score,Overall_Risk_Score,Failed_Login_Count,New_Device_Login_Frequency,Unusual_Login_Flag,Account_Takeover_Risk,High_Value_Transaction_Count,Suspicious_Transaction_Count,Beneficiary_Change_Frequency,Device_Trust_Score,Velocity_Score,Geo_Anomaly_Flag,Security_Awareness_Score
CUST_00001,False,22,21,0,Low,False,32,3,0,Low,74,44,False,59
CUST_00002,False,29,18,2,Low,False,23,0,0,Low,88,20,False,60
CUST_00003,False,41,25,2,Low,False,16,3,0,Low,90,32,False,97
CUST_00004,False,13,10,1,Low,False,20,0,0,Low,74,38,False,56
CUST_00005,True,84,38,3,High,True,66,3,1,High,29,82,True,14
CUST_00006,True,91,40,5,High,True,93,0,2,Medium,16,83,True,38
CUST_00007,False,26,13,0,Low,False,10,0,0,Low,73,21,False,98
CUST_00008,True,88,40,3,High,True,92,6,2,Medium,6,73,True,23
CUST_00009,False,30,18,1,Low,False,13,0,0,High,86,29,False,69
CUST_00010,False,0,5,0,Low,False,21,0,0,Low,77,35,False,95
CUST_00011,False,6,5,0,Low,False,16,0,0,Medium,87,40,False,75
CUST_00012,True,83,38,5,High,True,90,3,1,Medium,20,71,True,27
CUST_00013,True,78,38,5,High,True,76,3,1,Medium,23,86,True,37
CUST_00014,True,91,40,3,High,True,73,0,1,Medium,7,83,True,12
CUST_00015,False,0,5,0,Low,False,23,3,0,Low,95,17,False,88
CUST_00016,True,83,36,4,High,True,75,3,1,Medium,20,93,True,16
CUST_00017,False,23,15,0,Low,False,25,0,0,Low,98,44,False,69
CUST_00018,False,27,16,0,Low,False,24,6,0,Low,83,35,False,92
CUST_00019,True,84,41,2,High,True,94,0,2,High,13,91,True,30
CUST_00020,False,33,19,1,Medium,False,17,3,0,Low,97,6,False,79
CUST_00021,False,28,17,0,Low,False,9,0,0,Low,77,18,False,76
CUST_00022,True,90,41,3,High,True,87,0,1,High,6,83,True,25
CUST_00023,False,29,16,1,Low,True,32,0,0,Low,82,42,False,54
CUST_00024,True,75,37,5,High,True,79,0,1,High,27,75,True,19
CUST_00025,False,19,12,0,Low,False,23,0,0,Low,89,39,False,76
CUST_00026,False,48,27,0,Medium,True,6,3,0,Low,85,19,False,96
CUST_00027,True,96,46,2,High,True,89,0,1,Medium,19,85,True,25
CUST_00028,False,1,5,1,Low,False,13,3,0,Low,81,28,False,72
CUST_00029,False,45,41,0,Low,False,7,3,0,Low,90,26,False,85
CUST_00030,False,23,16,0,Low,False,9,3,0,Medium,98,33,False,67
CUST_00031,False,42,27,0,Low,False,5,0,0,Low,84,10,False,67
CUST_00032,False,20,10,1,Medium,False,15,0,0,Medium,92,18,False,83
CUST_00033,False,40,27,0,Low,False,15,0,0,Low,73,20,False,63
CUST_00034,True,75,45,5,High,True,92,0,1,Medium,20,91,True,22
CUST_00035,True,90,37,3,High,True,88,0,1,Medium,28,70,True,11
CUST_00036,False,13,35,0,Low,True,19,3,0,Low,78,19,False,83
CUST_00037,False,43,26,1,Low,False,15,3,0,High,76,28,False,88
CUST_00038,False,31,22,0,Low,False,10,0,0,Medium,93,34,False,66
CUST_00039,False,14,8,0,Low,False,34,0,0,Low,91,40,False,64
CUST_00040,True,85,50,2,High,True,90,3,1,Low,28,74,True,31
CUST_00041,False,21,8,2,Low,False,9,3,0,Low,93,38,False,63
CUST_00042,True,98,47,4,High,True,64,3,1,High,22,94,True,26
CUST_00043,False,30,20,0,Low,False,11,3,0,Low,83,25,False,75
CUST_00044,True,94,45,3,High,True,81,3,1,High,21,70,True,27
CUST_00045,False,19,15,0,Low,False,11,3,0,Medium,94,21,False,62
CUST_00046,False,38,23,1,Low,False,26,0,0,Medium,79,37,False,51
CUST_00047,False,13,8,0,Low,False,33,0,0,Low,87,7,False,53
CUST_00048,False,32,19,2,Low,False,17,0,0,Low,71,31,False,63
CUST_00049,False,15,12,0,Low,False,27,0,0,Low,75,21,False,59
CUST_00050,True,96,47,4,High,True,81,0,1,Low,19,78,True,24
CUST_00051,False,28,15,0,Medium,False,33,3,0,Low,91,12,False,54
CUST_00052,False,5,8,2,Low,False,21,0,0,Low,82,25,False,69
CUST_00053,True,95,46,4,High,True,64,0,1,Low,13,97,True,15
CUST_00054,False,20,12,0,Medium,False,6,3,0,Low,75,34,False,84
CUST_00055,True,85,43,3,High,True,63,0,1,High,5,75,True,35
CUST_00056,False,27,18,0,Low,False,25,3,0,Low,94,33,False,91
CUST_00057,True,89,43,5,High,True,67,3,1,High,9,83,True,33
CUST_00058,False,1,6,0,Low,False,28,3,0,Low,76,19,False,88
CUST_00059,True,80,35,2,High,True,85,0,2,High,25,83,True,39
CUST_00060,False,38,23,0,Low,False,9,0,0,Low,70,33,False,66
CUST_00061,True,78,41,5,High,True,72,0,1,High,15,87,True,22
CUST_00062,True,85,38,5,High,True,68,0,2,High,9,78,True,39
CUST_00063,True,96,44,2,High,True,72,3,1,High,6,73,True,26
CUST_00064,False,30,19,2,Low,False,21,3,0,Low,82,36,False,97
CUST_00065,False,1,6,1,Low,False,9,0,0,Low,74,24,False,93
CUST_00066,False,20,12,0,Low,False,27,3,0,Low,70,27,False,73
CUST_00067,True,87,41,4,High,True,71,3,1,High,29,87,True,40
CUST_00068,False,38,27,1,Low,False,19,0,0,Low,82,28,False,91
CUST_00069,False,9,5,1,Low,False,25,0,0,Low,74,10,False,95
CUST_00070,False,29,17,0,Low,False,30,3,0,Medium,92,15,False,69
CUST_00071,False,15,13,0,Low,False,33,0,0,Low,96,41,False,89
CUST_00072,True,85,42,4,High,True,63,0,2,Medium,19,93,True,35
CUST_00073,False,29,18,2,Low,False,20,0,0,Low,82,18,False,50
CUST_00074,False,5,7,0,Low,False,21,0,0,Low,76,6,False,80
CUST_00075,False,29,18,0,Medium,False,8,3,0,Low,89,44,False,61
CUST_00076,False,11,8,0,Medium,False,25,0,0,Low,83,12,False,72
CUST_00077,True,85,41,4,High,True,85,3,1,Medium,22,84,True,30
CUST_00078,False,27,22,0,Low,False,21,3,0,Low,76,31,False,53
CUST_00079,True,89,38,2,High,True,61,1,1,Low,8,86,True,24
CUST_00080,False,8,10,0,Medium,False,9,3,0,Low,76,13,False,86
CUST_00081,False,29,18,0,Low,False,30,0,0,Low,81,31,False,82
CUST_00082,False,22,16,0,Low,False,14,3,0,Low,95,10,False,63
CUST_00083,False,25,20,0,Low,False,6,3,0,Low,94,37,False,53
CUST_00084,False,25,12,0,Low,False,6,3,0,Low,83,28,False,80
CUST_00085,True,78,36,4,High,True,62,0,1,High,25,76,True,23
CUST_00086,False,31,21,1,Low,False,7,0,0,Low,80,16,False,80
CUST_00087,True,98,45,3,High,True,72,3,1,High,19,74,True,40
CUST_00088,False,29,18,0,Low,False,30,3,0,Low,88,8,False,69
CUST_00089,False,19,14,0,Low,False,30,0,0,Low,73,18,False,66
CUST_00090,True,93,44,2,High,True,86,3,2,High,13,78,True,15
CUST_00091,False,20,15,0,Low,False,34,3,0,Medium,81,5,False,94
CUST_00092,False,7,8,1,Low,False,31,0,0,Low,93,43,False,81
CUST_00093,False,0,5,0,Low,False,17,0,0,Low,91,32,False,75
CUST_00094,False,28,20,0,Low,False,11,3,0,Low,84,27,False,74
CUST_00095,False,15,12,0,Low,False,14,0,0,Medium,71,14,False,94
CUST_00096,False,32,15,0,Low,True,8,0,0,Low,80,5,False,69
CUST_00097,True,95,44,4,High,True,82,3,1,Medium,26,74,True,32
CUST_00098,False,12,6,0,Low,False,23,0,0,Medium,97,26,False,90
CUST_00099,False,2,5,0,Low,False,22,3,0,Low,74,35,False,94
CUST_00100,True,82,41,4,High,True,80,3,2,Low,15,93,True,31
CUST_00101,True,96,44,5,High,True,62,0,1,Medium,12,70,True,16
CUST_00102,False,21,14,0,Low,False,28,0,0,Medium,70,25,False,73
CUST_00103,False,3,5,0,Low,False,10,3,0,Low,99,43,False,51
CUST_00104,True,78,42,2,High,True,82,3,1,High,20,93,True,27
CUST_00105,False,33,21,0,Low,False,27,0,0,Low,98,18,False,96
CUST_00106,False,1,5,0,Low,False,25,0,0,Low,94,40,False,76
CUST_00107,False,23,15,0,Medium,False,27,3,0,Low,95,14,False,81
CUST_00108,False,13,8,0,Low,False,32,0,0,Low,70,25,False,60
CUST_00109,False,21,14,1,Low,False,18,3,0,High,84,37,False,53
CUST_00110,True,87,41,2,High,True,72,0,1,High,25,90,True,15
CUST_00111,False,16,11,1,Low,False,12,0,0,Low,70,17,False,98
CUST_00112,True,79,49,4,High,True,68,0,1,Medium,10,70,True,14
CUST_00113,False,3,7,0,Low,False,28,0,0,Low,88,34,False,74
CUST_00114,False,22,13,0,Low,False,6,3,0,Medium,87,24,False,57
CUST_00115,False,17,12,0,Low,False,33,0,0,Low,98,41,False,68
CUST_00116,False,14,9,0,Medium,False,22,3,0,Medium,72,26,False,73
CUST_00117,True,95,43,5,High,True,85,0,1,Low,9,84,True,31
CUST_00118,False,24,15,1,Low,False,12,0,0,Low,81,6,False,71
CUST_00119,False,32,19,0,Low,False,10,0,0,Medium,83,42,False,56
CUST_00120,False,19,9,1,Low,True,31,0,0,Low,85,5,False,67
CUST_00121,True,82,38,4,High,True,91,0,1,Medium,20,83,True,37
CUST_00122,False,40,24,0,Low,False,13,0,0,Low,77,40,False,84
CUST_00123,False,19,10,0,Medium,False,12,0,0,High,84,32,False,93
CUST_00124,False,27,15,0,Low,False,28,0,0,Low,98,13,False,59
CUST_00125,False,17,10,0,Low,False,10,3,0,High,73,13,False,68
CUST_00126,False,22,19,1,Medium,False,31,0,0,Low,84,12,False,54
CUST_00127,False,0,5,0,Medium,False,9,0,0,Low,96,41,False,89
CUST_00128,True,83,40,5,High,True,75,3,1,High,12,90,True,16
CUST_00129,False,28,15,0,Low,False,16,3,0,Medium,73,33,False,93
CUST_00130,False,17,13,0,Low,False,14,3,0,Low,86,42,False,93
CUST_00131,True,80,36,4,High,True,69,3,1,Medium,23,76,True,10
CUST_00132,False,31,19,1,Low,False,14,0,0,Medium,93,14,False,59
CUST_00133,True,82,38,2,High,True,75,4,1,Low,10,89,True,23
CUST_00134,False,28,16,2,Low,False,6,3,0,Low,96,19,False,86
CUST_00135,False,17,34,0,Low,False,13,3,0,Low,89,13,False,95
CUST_00136,False,21,17,0,Low,False,29,3,0,Low,94,38,False,61
CUST_00137,False,1,8,0,Low,False,11,3,0,Low,71,39,False,72
CUST_00138,False,31,14,0,Low,False,6,6,0,Low,90,15,False,50
CUST_00139,False,28,23,0,Low,False,24,3,0,Low,79,7,False,69
CUST_00140,False,34,19,0,Low,False,21,3,0,Low,90,8,False,90
CUST_00141,False,32,19,0,Low,False,9,3,0,High,71,9,False,60
CUST_00142,False,32,18,0,Low,False,31,3,0,Low,96,40,False,53
CUST_00143,False,8,7,0,Low,False,32,0,0,Medium,89,13,False,76
CUST_00144,False,25,16,0,Low,False,23,0,0,Medium,97,9,False,84
CUST_00145,True,79,41,5,High,True,78,3,1,High,18,78,True,10
CUST_00146,False,18,13,0,Low,False,16,3,0,Low,99,15,False,88
CUST_00147,False,8,10,0,Low,False,15,3,0,Low,89,33,False,75
CUST_00148,False,28,11,0,Medium,False,26,0,0,Low,96,34,False,85
CUST_00149,False,42,25,0,Low,False,7,0,0,Low,80,34,False,69
CUST_00150,False,17,14,0,Low,False,26,3,0,Low,76,6,False,83
CUST_00151,False,25,14,0,Medium,False,29,0,0,Low,75,24,False,91
CUST_00152,False,6,6,1,Low,False,18,0,0,Low,70,21,False,96
CUST_00153,False,26,15,0,Low,False,24,0,0,Low,99,29,False,68
CUST_00154,False,12,12,0,Low,False,14,3,0,Low,80,5,False,89
CUST_00155,False,34,16,0,Low,False,19,0,0,Low,71,9,False,93
CUST_00156,False,9,9,2,Low,False,11,3,0,Low,82,42,False,83
CUST_00157,False,44,30,0,Low,False,26,0,0,Medium,97,36,False,69
CUST_00158,False,8,8,0,Medium,False,19,3,0,Low,86,18,False,60
CUST_00159,False,30,19,0,Low,False,15,0,0,Low,83,44,False,72
CUST_00160,False,5,7,0,Low,False,31,0,0,Low,92,26,False,85
CUST_00161,True,98,47,3,High,True,79,3,1,Medium,11,76,True,37
CUST_00162,True,93,43,2,High,True,66,0,1,Medium,27,97,True,16
CUST_00163,True,83,39,5,High,True,83,1,1,High,20,92,True,43
CUST_00164,False,5,7,0,Low,False,24,3,0,Low,85,34,False,91
CUST_00165,True,79,37,5,High,True,63,6,1,Medium,14,89,True,26
CUST_00166,False,22,10,0,Medium,False,26,0,0,High,98,6,False,70
CUST_00167,False,21,25,0,Low,False,27,0,0,Low,70,23,False,76
CUST_00168,False,27,19,0,Low,False,6,0,0,Medium,83,8,False,67
CUST_00169,False,29,18,0,Medium,False,26,0,0,Low,83,15,False,67
